algorithm,instances,feasible_rate,avg_vehicles,avg_distance,avg_runtime
ALNS,60,1.0,62.516666666666666,54668.221625,91.280445
BIH,60,1.0,62.86666666666667,60626.926355,32.13252166666667
ORTOOLS,60,0.26666666666666666,65.85,36982.553948333334,90.03859000000001
TABU,60,1.0,62.4,55425.140550000004,90.47258166666667
